id,user_id,course_id,rating,content
4,4,1,3,pede malesuada in imperdiet et commodo vulputate justo in blandit
5,5,2,4,a odio in hac habitasse platea dictumst maecenas ut massa quis
6,6,5,5,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
7,7,2,5,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
8,8,1,5,proin risus praesent lectus vestibulum quam sapien varius ut blandit non
9,9,5,4,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
10,10,3,5,in tempus sit amet sem fusce consequat nulla nisl nunc
11,11,5,4,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus
12,12,3,5,lorem id ligula suspendisse ornare consequat lectus in est risus auctor
13,13,1,4,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
14,14,5,3,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non
15,15,3,3,aliquam sit amet diam in magna bibendum imperdiet nullam orci
16,16,1,5,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
17,17,4,3,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
18,18,2,4,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
19,19,3,3,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
20,20,4,3,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
21,21,1,5,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum
22,22,4,4,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
23,23,4,3,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
24,24,5,4,nisi eu orci mauris lacinia sapien quis libero nullam sit amet
25,25,5,4,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
26,26,1,3,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
27,27,5,3,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
28,28,5,4,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et
29,29,4,3,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
30,30,1,5,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
31,31,2,3,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse
32,32,5,5,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
33,33,2,3,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
34,34,3,3,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
35,35,3,5,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id
36,36,1,5,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin
37,37,1,3,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
38,38,4,4,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
39,39,4,3,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
40,40,4,3,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
41,41,1,3,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius
42,42,1,4,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque
43,43,5,3,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
44,44,2,4,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
45,45,5,4,lacus at turpis donec posuere metus vitae ipsum aliquam non
46,46,1,3,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
47,47,2,4,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
48,48,4,5,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
49,49,4,4,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
50,50,2,4,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
51,51,3,3,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
52,52,1,3,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
53,53,2,4,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam
54,54,4,5,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
55,55,4,4,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
56,56,1,3,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
57,57,1,3,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
58,58,5,5,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
59,59,5,3,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
60,60,5,5,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
61,61,3,3,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
62,62,4,4,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
63,63,1,3,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
64,64,2,5,donec semper sapien a libero nam dui proin leo odio
65,65,4,5,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor
66,66,5,5,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
67,67,2,4,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
68,68,4,4,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
69,69,2,3,vel est donec odio justo sollicitudin ut suscipit a feugiat et
70,70,5,4,libero nullam sit amet turpis elementum ligula vehicula consequat morbi
71,71,1,5,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
72,72,4,4,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
73,73,3,3,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
74,74,2,4,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce
75,75,5,5,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien
76,76,3,5,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
77,77,3,3,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
78,78,5,4,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
79,79,2,4,lobortis est phasellus sit amet erat nulla tempus vivamus in
80,80,3,5,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
81,81,2,3,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
82,82,4,5,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
83,83,3,4,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
84,84,5,3,suscipit a feugiat et eros vestibulum ac est lacinia nisi
85,85,3,3,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
86,86,2,4,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
87,87,5,4,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
88,88,4,3,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
89,89,3,4,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
90,90,2,4,sapien a libero nam dui proin leo odio porttitor id consequat in consequat
91,91,3,4,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
92,92,3,5,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
93,93,4,4,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
94,94,5,3,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
95,95,3,5,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
